street
Ингульский пер.
Индустриальная ул.
Индустриальный пер.
Инженерная ул.
Инженерный пер.
Институтская ул.
Ирининская ул.
Ирпенская ул.
Иртышская ул.
Ирчана Мирослава ул.
Исаакяна ул.
Искровская ул.
Кабельная ул.
Каблукова ул.
Кавказская ул.
Кадетский Гай
Кадиевская ул.
Кадиевский пер.
Казанская ул.
Казатинская ул.
Казатинский пер.
Казацкая ул.
Казацкий пер.
Кайсарова ул.
Калачевская ул.
Калинина ул.-Бортничи
Калининградская ул.
Калининская ул.
Калинова ул.
Каменева ул.
Каменец-Подольская ул.
Каменец-Подольский пер.
Каменярив пер.
Каменярив ул.
Камышинская ул.
Канальная ул.
Каневская ул.
Кантемировский пер.
Караваева Профессора ул.
Карбышева Генерала ул.
Карельская ул.
Карельский пер.
Кармелюка пер.
Кармелюка ул.
Карпатская ул.
Карпинского Академика ул.
Картвелишвили ул.
Карьерная ул.
Касияна Василия ул.
Каунаская ул.
Каховская ул.
Качалова ул.
Качуры Якова пер.
Качуры Якова ул.
Каштанова ул.
Кащенко Академика ул.
Квитки-Основьяненко пер.
Квитки-Основьяненко ул.
Керамический пер.
Керченская ул.
Кибальчича Николая ул.
Киевская ул.-Жуляны
Киквидзе ул.
Киото ул.
Киприанова Акад.вул.
Кирило-Мефодиевская ул.
Кирова ул.-Троещина
Кировоградская ул.
Кировоградский пер.
Кировская ул.
Кирпоноса ул.
Кисловодская ул.
Кисловодский пер.
Китаевская ул.
Кишиневская ул.
Кияновский пер.
Клавдиевская ул.
Клеманская ул.
Кленовый пер.
Клименко Ивана ул.
Клиническая ул.
Клинический пер.
Кловский спуск
Княжий Затон ул.
Кобзарская ул.
Кобзарский пер.
Кобылянской Ольги ул.
Кобылянской пер.
Ковальский пер.
Ковельская ул.
Ковпака ул.
Кожемяцкая ул.
Козелецкая ул.
Козицкого Филиппа ул.
Козловского Ивана пер.
Коласа Якуба ул.
Коллективизации ул.
Коллекторная ул.
Коллонтай ул.
Коломиевский пер.
Коломыйская ул.
Колосковая ул.
Колхозная ул.
Кольцова бульвар
Комбайнеров ул.
Комбинатная ул.
Коминтерна пер.1-Бортничи
Коминтерна пер.2-Бортничи
Коминтерна пер.3-Бортничи
Коминтерна ул.
Коминтерна ул.-Бортничи
Коммунальная ул.
Коммунистическая ул.-Бортничи
Комсомольская ул.-Бортничи
Комсомольская ул.-Жуляны
Комсомольский пер.-Бортнч
Кондратюка Юрия ул.
Кондукторская ул.
Конечная ул.
Коноплянская ул.
Конотопская ул.
Константиновская ул.
Контрактовая площадь
Конча-Заспа Сел.Письменники
Конча-Озерная ул.
Кооперативная ул.-Жуляны
Копайгородская ул.
Коперника ул.
Копиленко Александра ул.
Копыловская ул.
Коренная ул.
Королева Академика проспект
Королева Академика ул.
Короленковская ул.
Коростеньская ул.
Корсуньская ул.
Корсунь-Шевченковская ул.
Корчеватская ул.
Корчеватский пер.
Косенко ул.
Космическая ул.
Космодемьянской ул.
Косогорный пер.
Костельная ул.
Костычева Адемемика ул.
Костюка ул.
Котельникова Михаила ул.
Котика Вали ул.
Котляревского ул.-Жуляны
Котовского пер.-Бортничи
Котовского ул.
Котовского ул.-Бортничи
Коцюбинского Михаила ул.
Коцюбинского ул.-Бортничи
Коцюбинского Юрия ул.
Кочерги Ивана ул.-Позняки
Кочубеевская ул.
Кошевого Олега ул.
Кошица Александра ул.
Кравченко ул.
Крайняя ул.
Краковская ул.
Краматорская ул.
Краматорский пер.
Крамского Ивана ул.
Красикова Петра пер.
Красикова Петра ул.
Красилевская ул.
Красицкого ул.
Красная ул.
Красноармейская ул -
Красноармейская ул.
Красноармейский пер.
Краснова Николая ул.
Красноводская ул.
Красноводский пер.
Красногвардейская ул.
Красногвардейский пер.
Краснодарская ул.
Краснодонская ул.
Краснодонский пер.
Краснозаводская ул.
Краснозаводский пер.
Краснознаменная ул.
Краснознаменный пер.
Краснокутская ул.
Краснокутский пер.
Краснолуцкая ул.
Краснопартизанская ул.
Краснопольская ул.
Красноткацкая ул.
Краснофлотская ул.
Красный пер.
Крейсера Аврора ул.
Кременецкий пер.
Крепосной пер.
Крещатик ул.
Кржижановского ул.
Кривоноса Максима ул.
Кривоноса Петра площадь
Криворожская ул.
Кричевского Федора ул.
Кронштадская ул.
Кропивницкого ул.
Круглая ул.
Круглоуниверситетская ул.
Крупской ул.
Крутая ул -
Крутая ул.
Крутогорная ул.
Крутой спуск
Крушельницкого ул.
Крушельницкой Соломии ул.
Крыленко ул.
Крылова ул.-Бортничи
Крыловский пер.
Крымская ул.
Крымского Академика ул.
Крыничная ул.
Кубанская ул.
Кудри Ивана ул.
Кудрявская ул.
Кудрявский спуск
Кудряшова пер.
Кудряшова ул.
Кузбасская ул.
Кузбасский пер.
Кузнецова Николая ул.
Кузьминская ул.
Кулибина пер.
Кулибина ул.
Куприна ул.
Купянская ул.
Кургановская ул.
Кургановский пер.
Куреневская ул.
Куреневский пер.
Курнатовского ул.
Курортная ул.
Курская ул.
Курчатова Академика ул.
Кустанайская ул.
Кустанайский пер.
Кутузова пер.
Кутузова ул.
Кутузова ул.-Троещина
Кучера Василия ул.
Лабораторный пер.
Лаврухина ул.
Лазо Сергея ул.
Лазо Сергея ул.-Троещина
Лазурная ул.
Ластовского ул.
Лауреатская ул.
Лебедева Академика ул.
Лебедева Николая ул.
Лебедева-Кумача ул.
Лебединская ул.
Левадная ул.-Бортничи
Левадный пер. 2
Левадный пер.-Бортничи
Леваневского ул.
Левитана пер.
Левитана ул.
Лейпцигская ул.
Ленина ул.-Бортничи
Ленина ул.-Жуляны
Ленинская ул.
Леонтовича ул.
Лермонтова пер.-Бортничи
Лермонтова ул.-Бортничи
Лермонтова ул.-Новоселки
Лермонтова ул.-Троещина
Лермонтовская ул.
Леси Украинки площадь
Леси Украинки ул.
Леси Украинки ул.-Троещина
Лескова ул.
Лесная Поляна ул.
Лесная ул.
Лесная ул.-Бортничи
Лесничная ул.
Лесной пер.-Бортничи
Лесной проспект
Лесозащитная ул.
Лесорубная ул.
Линейная ул.
Липская ул.
Липский пер.
Лисичанская ул.
Лисичанский пер.
Лисковская ул.
Лисогорская ул.
Листопадная ул.(Ноябрьская)
Лисянская ул.
Литвиненко-Вольгемут ул.
Литейная ул.
Литинская ул.
Литня ул.
Литовский пер.
Лихачева бульвар
Лобачевского пер.
Лобаческого ул.
Лодыгина пер.
Лодыгина ул.
Локомотивная ул.
Ломоносова ул.
Лохвицкая ул.
Лубенская ул.
Луганская ул.
Луговая ул.
Луговая ул.-Бортничи
Луговая ул.-Жуляны
Луговой пер.-Бортничи
Лукашевича Николая ул.
Лукьяновская ул.
Лумумбы Патриса ул.
Луначарского пер.
Луначарского ул.
Лыбедская ул.
Лысенко ул.
Львовская площадь
Львовская ул.
Любарская ул.
Любарский пер.
Любомирская ул.
Люботинская ул.
Люботинский пер.
Лютеранская ул.
Лютневая ул.
Лютневая ул.-Бортничи
Лютневый пер.
Лятошинского Композитора ул.
Магистральная ул.
Магнитогорская ул.
Магнитогорский пер.
Майкопская ул.
